Request	Payload	Status code	Response received	Error	Timeout	Length	Comment
310	DBMS_XDB_VERSION.CHECKOUT	302	83	false	false	493	
311	DBMS_XDB_VERSION.GETPREDECESSORS	302	81	false	false	493	
312	DBMS_XDB_VERSION.GETSUCCESSORS	302	81	false	false	493	
313	DBMS_XDB_VERSION.GETVERSION	302	81	false	false	493	
314	DBMS_XDB_VERSION.MAKEVERSIONED	302	81	false	false	493	
315	DBMS_XDB_VERSION.UNCHECKOUT	302	82	false	false	493	
316	DBMS_XMLGEN.GETXML	302	93	false	false	493	
317	DBMS_XSLPROCESSOR.READ2CLOB	302	92	false	false	493	
318	DBMS_XSLPROCESSOR.valueOf	302	79	false	false	493	
319	DBSNMP	302	79	false	false	493	
320	DBUriType	302	96	false	false	493	
321	DB_ID	302	94	false	false	493	
322	DB_NAME	302	95	false	false	493	
323	DEALLOCATE	302	94	false	false	493	
325	DECIMAL	302	95	false	false	493	
326	DECLARE	302	96	false	false	493	
327	DECODE	302	96	false	false	493	
328	DECOMPOSE	302	56	false	false	493	
329	DECRYPT	302	74	false	false	493	
330	DECRYPTBYASYMKEY	302	63	false	false	493	
331	DECRYPTBYCERT	302	75	false	false	493	
332	DECRYPTBYKEY	302	76	false	false	493	
333	DEFAULT	302	70	false	false	493	
334	DEFERRABLE	302	59	false	false	493	
335	DEFINER	302	73	false	false	493	
336	DEGREES	302	66	false	false	493	
337	DELAYED	302	61	false	false	493	
340	DENSE_RANK	302	118	false	false	493	
341	DENY	302	118	false	false	493	
342	DEPTH	302	109	false	false	493	
343	DESC	302	104	false	false	493	
344	DESCENDING	302	104	false	false	493	
345	DESCRIBE	302	104	false	false	493	
346	DES_DECRYPT	302	104	false	false	493	
347	DES_ENCRYPT	302	104	false	false	493	
348	DETERMINISTIC	302	99	false	false	493	
349	DIAGNOSTICS	302	84	false	false	493	
350	DIFFERENCE	302	84	false	false	493	
351	DIGEST	302	88	false	false	493	
352	DISTINCT	302	84	false	false	493	
353	DISTINCTROW	302	84	false	false	493	
354	DIV	302	87	false	false	493	
355	DMETAPHONE	302	83	false	false	493	
356	DNS	302	86	false	false	493	
357	DO	302	90	false	false	493	
359	DROP	302	79	false	false	493	
365	ELSE	302	77	false	false	493	
366	ELT	302	76	false	false	493	
367	ENCODE	302	76	false	false	493	
368	ENCRYPT	302	76	false	false	493	
369	ENCRYPTBYASYMKEY	302	68	false	false	493	
370	ENCRYPTBYCERT	302	68	false	false	493	
371	ENCRYPTBYKEY	302	71	false	false	493	
372	END	302	70	false	false	493	
373	ENGINE	302	71	false	false	493	
374	ENUM	302	69	false	false	493	
375	ERROR_LINE	302	70	false	false	493	
376	ERROR_MESSAGE	302	67	false	false	493	
377	ERROR_NUMBER	302	70	false	false	493	
378	ERROR_PROCEDURE	302	67	false	false	493	
379	ERROR_SEVERITY	302	86	false	false	493	
380	ERROR_STATE	302	85	false	false	493	
381	EVAL	302	85	false	false	493	
382	EVENT	302	83	false	false	493	
383	EVERY	302	85	false	false	493	
384	EXCEPT	302	84	false	false	493	
386	EXEC	302	81	false	false	493	
387	EXECUTE	302	83	false	false	493	
390	EXISTS	302	56	false	false	493	
391	EXP	302	65	false	false	493	
392	EXPLAIN	302	54	false	false	493	
393	EXPORT	302	65	false	false	493	
394	EXTRACT	302	65	false	false	493	
395	EXTRACTVALUE	302	65	false	false	493	
396	FALSE	302	65	false	false	493	
397	FETCH	302	65	false	false	493	
400	FIELD	302	58	false	false	493	
407	FILTER	302	88	false	false	493	
408	FIND_IN_SET	302	88	false	false	493	
409	FIRST_VALUE	302	61	false	false	493	
410	FLOAT	302	59	false	false	493	
412	FLUSH	302	62	false	false	493	
413	FOLLOWING	302	59	false	false	493	
419	FORCE	302	70	false	false	493	
421	FORMAT	302	69	false	false	493	
422	FOUND_ROWS	302	66	false	false	493	
423	FROM	302	76	false	false	493	
424	FROM_BASE64	302	75	false	false	493	
425	FROM_DAYS	302	76	false	false	493	
426	FROM_UNIXTIME	302	65	false	false	493	
429	FULLTEXT	302	76	false	false	493	
430	FULLTEXTCATALOGPROPERTY	302	67	false	false	493	
431	FULLTEXTSERVICEPROPERTY	302	67	false	false	493	
432	FUNCTION	302	92	false	false	493	
433	GB2312	302	82	false	false	493	
434	GBK	302	81	false	false	493	
436	GEOMETRY	302	77	false	false	493	
438	GETDATE	302	74	false	false	493	
439	GETUTCDATE	302	74	false	false	493	
440	GLOBAL	302	74	false	false	493	
441	GRANT	302	74	false	false	493	
442	GREATEST	302	68	false	false	493	
444	GROUPING	302	70	false	false	493	
446	GROUPS	302	91	false	false	493	
447	GROUP_CONCAT	302	91	false	false	493	
448	GTID_SUBSET	302	81	false	false	493	
449	GTID_SUBTRACT	302	81	false	false	493	
451	HASHBYTES	302	80	false	false	493	
452	HAVING	302	87	false	false	493	
455	HIERARCHYID	302	81	false	false	493	
456	HIGH_PRIORITY	302	81	false	false	493	
457	HMAC	302	80	false	false	493	
458	HOST_NAME	302	80	false	false	493	
459	HOUR	302	80	false	false	493	
460	HTTPURITYPE	302	80	false	false	493	
462	IDENTITY	302	73	false	false	493	
463	IDENT_CURRENT	302	73	false	false	493	
464	IF	302	73	false	false	493	
465	IFNULL	302	74	false	false	493	
466	IGNORE	302	94	false	false	493	
467	IIF	302	95	false	false	493	
469	IMAGE	302	93	false	false	493	
470	IMMEDIATE	302	93	false	false	493	
471	IMMUTABLE	302	92	false	false	493	
472	IMPERSONATE	302	97	false	false	493	
473	IMPORT	302	97	false	false	493	
474	IN	302	97	false	false	493	
475	INDEX	302	97	false	false	493	
476	INDEX_COL	302	72	false	false	493	
477	INHERIT	302	59	false	false	493	
478	INITCAP	302	72	false	false	493	
485	INSTR	302	82	false	false	493	
486	INT	302	74	false	false	493	
487	INTEGER	302	75	false	false	493	
488	INTERSECT	302	89	false	false	493	
490	INTERVAL	302	63	false	false	493	
491	INTO	302	63	false	false	493	
494	INVOKER	302	53	false	false	493	
495	IS	302	89	false	false	493	
499	ISJSON	302	59	false	false	493	
500	ISNULL	302	59	false	false	493	
502	JOIN	302	60	false	false	493	
503	JSON	302	82	false	false	493	
504	JSON_ARRAY	302	82	false	false	493	
505	JSON_ARRAYAGG	302	81	false	false	493	
506	JSON_CONTAINS	302	78	false	false	493	
507	JSON_CONTAINS_PATH	302	78	false	false	493	
508	JSON_DEPTH	302	71	false	false	493	
509	JSON_EXTRACT	302	68	false	false	493	
511	JSON_KEYS	302	75	false	false	493	
512	JSON_LENGTH	302	60	false	false	493	
513	JSON_MERGE	302	113	false	false	493	
514	JSON_MERGE_PATCH	302	113	false	false	493	
515	JSON_MERGE_PRESERVE	302	113	false	false	493	
516	JSON_MODIFY	302	111	false	false	493	
517	JSON_OBJECT	302	111	false	false	493	
518	JSON_OBJECTAGG	302	111	false	false	493	
519	JSON_PRETTY	302	111	false	false	493	
520	JSON_QUERY	302	111	false	false	493	
521	JSON_REMOVE	302	106	false	false	493	
522	JSON_REPLACE	302	96	false	false	493	
523	JSON_SCHEMA_VALID	302	87	false	false	493	
524	JSON_SET	302	83	false	false	493	
525	JSON_STORAGE_FREE	302	83	false	false	493	
526	JSON_STORAGE_SIZE	302	87	false	false	493	
527	JSON_TABLE	302	83	false	false	493	
528	JSON_TYPE	302	96	false	false	493	
529	JSON_UNQUOTE	302	84	false	false	493	
530	JSON_VALID	302	81	false	false	493	
531	JSON_VALUE	302	84	false	false	493	
532	JUSTIFY_DAYS	302	86	false	false	493	
533	JUSTIFY_HOURS	302	62	false	false	493	
534	JUSTIFY_INTERVAL	302	71	false	false	493	
535	KEY	302	70	false	false	493	
536	KEY_GUID	302	67	false	false	493	
537	KEY_ID	302	69	false	false	493	
538	KILL	302	68	false	false	493	
539	LAG	302	68	false	false	493	
540	LANGUAGE	302	62	false	false	493	
541	LARGE	302	72	false	false	493	
542	LASTVAL	302	65	false	false	493	
543	LAST_DAY	302	58	false	false	493	
545	LAST_VALUE	302	70	false	false	493	
546	LATERAL	302	66	false	false	493	
547	LATIN1	302	61	false	false	493	
548	LCASE	302	66	false	false	493	
549	LEAD	302	79	false	false	493	
550	LEAKPROOF	302	68	false	false	493	
551	LEAST	302	74	false	false	493	
555	LEN	302	74	false	false	493	
556	LENGTH	302	70	false	false	493	
557	LEVENSHTEIN	302	69	false	false	493	
559	LIMIT	302	69	false	false	493	
560	LINESTRING	302	63	false	false	493	
561	LISTAGG	302	63	false	false	493	
562	LN	302	63	false	false	493	
563	LOAD	302	76	false	false	493	
568	LOCAL	302	63	false	false	493	
569	LOCALTIME	302	63	false	false	493	
570	LOCALTIMESTAMP	302	69	false	false	493	
571	LOCATE	302	69	false	false	493	
572	LOCK	302	69	false	false	493	
575	LOG	302	68	false	false	493	
576	LOG10	302	66	false	false	493	
577	LOG2	302	64	false	false	493	
578	LOGIN	302	74	false	false	493	
579	LONGBLOB	302	66	false	false	493	
580	LONGTEXT	302	64	false	false	493	
581	LOWER	302	64	false	false	493	
582	LOW_PRIORITY	302	63	false	false	493	
583	LPAD	302	68	false	false	493	
584	LTRIM	302	65	false	false	493	
585	MAKEDATE	302	62	false	false	493	
586	MAKETIME	302	65	false	false	493	
587	MATCHED	302	65	false	false	493	
588	MATERIALIZED	302	127	false	false	493	
590	MAX	302	119	false	false	493	
591	MD5	302	119	false	false	493	
592	MDSYS	302	118	false	false	493	
593	MEDIAN	302	65	false	false	493	
594	MEDIUMBLOB	302	61	false	false	493	
595	MEDIUMINT	302	60	false	false	493	
596	MEDIUMTEXT	302	60	false	false	493	
597	MERGE	302	70	false	false	493	
598	METAPHONE	302	64	false	false	493	
599	MICROSECOND	302	62	false	false	493	
601	MIN	302	56	false	false	493	
602	MINUS	302	58	false	false	493	
603	MINUTE	302	57	false	false	493	
604	MOD	302	63	false	false	493	
606	MONEY	302	56	false	false	493	
607	MONTH	302	57	false	false	493	
608	NAME_CONST	302	52	false	false	493	
609	NATIONAL	302	87	false	false	493	
612	NEW	302	108	false	false	493	
613	NEWID	302	105	false	false	493	
614	NEXT	302	105	false	false	493	
615	NEXTVAL	302	105	false	false	493	
616	NLSSORT	302	104	false	false	493	
618	NOCASE	302	87	false	false	493	
619	NOINHERIT	302	88	false	false	493	
620	NOLOGIN	302	88	false	false	493	
621	NOT	302	113	false	false	493	
632	NOTNULL	302	104	false	false	493	
633	NOW	302	88	false	false	493	
634	NOWAIT	302	111	false	false	493	
635	NTEXT	302	105	false	false	493	
636	NTH_VALUE	302	103	false	false	493	
637	NTILE	302	106	false	false	493	
638	NULL	302	104	false	false	493	
639	NULLIF	302	73	false	false	493	
640	NUMERIC	302	73	false	false	493	
641	NUMTODSINTERVAL	302	73	false	false	493	
642	NUMTOYMINTERVAL	302	56	false	false	493	
644	NVL	302	60	false	false	493	
645	NVL2	302	56	false	false	493	
646	OACreate	302	69	false	false	493	
647	OBJECT_ID	302	71	false	false	493	
648	OBJECT_NAME	302	66	false	false	493	
649	OCT	302	76	false	false	493	
650	OCTET_LENGTH	302	76	false	false	493	
651	OFFSET	302	78	false	false	493	
652	OLAPSYS	302	75	false	false	493	
653	OLD	302	88	false	false	493	
655	ON	302	86	false	false	493	
656	ONLY	302	87	false	false	493	
657	OPEN	302	86	false	false	493	
658	OPENDATASOURCE	302	85	false	false	493	
659	OPENQUERY	302	77	false	false	493	
660	OPENROWSET	302	77	false	false	493	
661	OPENROWSET(BULK)	302	77	false	false	493	
662	OPTIMIZE	302	76	false	false	493	
663	OR	302	64	false	false	493	
669	OUTLN	302	92	false	false	493	
670	OUTPUT	302	93	false	false	493	
671	OVER	302	93	false	false	493	
672	OVERLAY	302	93	false	false	493	
673	OWA_UTIL	302	92	false	false	493	
674	PARALLEL	302	92	false	false	493	
675	PARSE	302	93	false	false	493	
676	PARTITION	302	92	false	false	493	
679	PATH	302	68	false	false	493	
680	PATINDEX	302	68	false	false	493	
681	PERCENT	302	68	false	false	493	
682	PERCENTILE_CONT	302	68	false	false	493	
683	PERCENTILE_DISC	302	72	false	false	493	
684	PERCENT_RANK	302	72	false	false	493	
685	PERIOD_ADD	302	68	false	false	493	
686	PERIOD_DIFF	302	68	false	false	493	
687	PERSIST	302	72	false	false	493	
688	PERSIST_ONLY	302	72	false	false	493	
689	PGP_KEY_ID	302	71	false	false	493	
690	PGP_PUB_DECRYPT	302	70	false	false	493	
691	PGP_PUB_ENCRYPT	302	71	false	false	493	
692	PGP_SYM_DECRYPT	302	72	false	false	493	
693	PGP_SYM_ENCRYPT	302	70	false	false	493	
695	PI	302	67	false	false	493	
696	PIVOT	302	76	false	false	493	
697	POINT	302	68	false	false	493	
698	POLYGON	302	68	false	false	493	
699	POSITION	302	72	false	false	493	
700	POW	302	67	false	false	493	
701	POWER	302	69	false	false	493	
702	PRECEDING	302	67	false	false	493	
703	PRECISION	302	67	false	false	493	
704	PREPARE	302	72	false	false	493	
706	PRIVILEGES	302	72	false	false	493	
707	PROCEDURE	302	70	false	false	493	
708	PROCESS	302	68	false	false	493	
709	PROCESSLIST	302	81	false	false	493	
710	PURGE	302	81	false	false	493	
711	PWDCOMPARE	302	80	false	false	493	
712	PWDENCRYPT	302	78	false	false	493	
713	QUARTER	302	77	false	false	493	
714	QUICK	302	77	false	false	493	
715	QUOTE	302	76	false	false	493	
716	RADIANS	302	76	false	false	493	
720	RANGE	302	62	false	false	493	
721	RANK	302	68	false	false	493	
727	REAL	302	62	false	false	493	
728	RECURSIVE	302	71	false	false	493	
729	REFERENCES	302	72	false	false	493	
730	REFERENCING	302	72	false	false	493	
731	REGEXP	302	72	false	false	493	
732	REGEXP_COUNT	302	77	false	false	493	
733	REGEXP_INSTR	302	66	false	false	493	
735	REGEXP_MATCHES	302	74	false	false	493	
736	REGEXP_REPLACE	302	69	false	false	493	
737	REGEXP_SPLIT_TO_ARRAY	302	68	false	false	493	
738	REGEXP_SPLIT_TO_TABLE	302	73	false	false	493	
740	REGR_AVGX	302	148	false	false	493	
741	REGR_AVGY	302	140	false	false	493	
742	REGR_COUNT	302	139	false	false	493	
743	REGR_INTERCEPT	302	140	false	false	493	
744	REGR_R2	302	147	false	false	493	
745	REGR_SLOPE	302	144	false	false	493	
746	REGR_SXX	302	144	false	false	493	
747	REGR_SXY	302	144	false	false	493	
748	REGR_SYY	302	144	false	false	493	
749	RELOAD	302	184	false	false	493	
750	RENAME	302	98	false	false	493	
751	REPAIR	302	98	false	false	493	
752	REPEAT	302	98	false	false	493	
754	REPLACE	302	82	false	false	493	
755	REPLICATION	302	89	false	false	493	
758	RESET	302	88	false	false	493	
759	RESIGNAL	302	76	false	false	493	
760	RESOURCE	302	64	false	false	493	
761	RESTORE	302	64	false	false	493	
762	RESTRICTED	302	76	false	false	493	
763	RETURN	302	72	false	false	493	
764	RETURNING	302	72	false	false	493	
765	RETURNS	302	93	false	false	493	
767	REVERSE	302	72	false	false	493	
768	REVOKE	302	72	false	false	493	
773	ROLE	302	58	false	false	493	
774	ROLES	302	56	false	false	493	
775	ROLLBACK	302	54	false	false	493	
776	ROLLUP	302	62	false	false	493	
777	ROUND	302	52	false	false	493	
778	ROUTINE	302	67	false	false	493	
779	ROWCOUNT_BIG	302	82	false	false	493	
782	ROWNUM	302	80	false	false	493	
783	ROWS	302	80	false	false	493	
784	ROWVERSION	302	80	false	false	493	
785	ROW_COUNT	302	80	false	false	493	
786	ROW_NUMBER	302	79	false	false	493	
787	RPAD	302	79	false	false	493	
788	RTRIM	302	53	false	false	493	
789	SAFE	302	92	false	false	493	
790	SAMPLE	302	92	false	false	493	
791	SAVEPOINT	302	91	false	false	493	
792	SCHEDULE	302	91	false	false	493	
793	SCHEMA	302	91	false	false	493	
794	SCOPE_IDENTITY	302	92	false	false	493	
795	SECOND	302	91	false	false	493	
798	SELECT	302	90	false	false	493	
799	SERIAL	302	76	false	false	493	
800	SERIALIZABLE	302	75	false	false	493	
801	SERVERPROPERTY	302	74	false	false	493	
802	SESSION	302	75	false	false	493	
803	SESSION_USER	302	75	false	false	493	
804	SET	302	75	false	false	493	
806	SHA	302	74	false	false	493	
807	SHA1	302	75	false	false	493	
808	SHA2	302	75	false	false	493	
809	SHA256	302	56	false	false	493	
810	SHA384	302	52	false	false	493	
811	SHA512	302	82	false	false	493	
812	SHOW	302	70	false	false	493	
817	SHUTDOWN	302	81	false	false	493	
818	SIGN	302	69	false	false	493	
819	SIGNAL	302	74	false	false	493	
820	SIGNBYASYMKEY	302	71	false	false	493	
821	SIGNBYCERT	302	81	false	false	493	
822	SIGNED	302	81	false	false	493	
824	SIN	302	84	false	false	493	
825	SINH	302	74	false	false	493	
828	SMALLINT	302	80	false	false	493	
829	SMALLMONEY	302	79	false	false	493	
830	SOME	302	76	false	false	493	
831	SOUNDEX	302	92	false	false	493	
833	SPACE	302	88	false	false	493	
834	SPATIAL	302	87	false	false	493	
835	SPLIT_PART	302	86	false	false	493	
838	SQLCODE	302	115	false	false	493	
839	SQLERRM	302	80	false	false	493	
840	SQLNULL	302	78	false	false	493	
841	SQLSTATE	302	63	false	false	493	
842	SQL_BIG_RESULT	302	63	false	false	493	
843	SQL_BUFFER_RESULT	302	63	false	false	493	
844	SQL_CACHE	302	65	false	false	493	
845	SQL_CALC_FOUND_ROWS	302	69	false	false	493	
846	SQL_NO_CACHE	302	63	false	false	493	
847	SQL_SMALL_RESULT	302	78	false	false	493	
848	SQL_VARIANT	302	77	false	false	493	
849	SQRT	302	81	false	false	493	
850	STABLE	302	80	false	false	493	
852	STATEMENT_TIMESTAMP	302	78	false	false	493	
853	STATS_MODE	302	69	false	false	493	
854	STDDEV	302	76	false	false	493	
855	STDDEV_POP	302	67	false	false	493	
856	STDDEV_SAMP	302	74	false	false	493	
857	STORAGE	302	72	false	false	493	
858	STR	302	61	false	false	493	
859	STRAIGHT_JOIN	302	71	false	false	493	
860	STRCMP	302	70	false	false	493	
861	STRICT	302	67	false	false	493	
862	STRING_AGG	302	67	false	false	493	
863	STR_TO_DATE	302	66	false	false	493	
864	STUFF	302	63	false	false	493	
865	ST_LATFROMGEOHASH	302	62	false	false	493	
866	ST_LONGFROMGEOHASH	302	65	false	false	493	
867	ST_POINTFROMGEOHASH	302	56	false	false	493	
871	SUM	302	66	false	false	493	
872	SUPER	302	78	false	false	493	
873	SUPERUSER	302	64	false	false	493	
874	SUSER_ID	302	76	false	false	493	
875	SUSER_NAME	302	76	false	false	493	
876	SUSER_SNAME	302	73	false	false	493	
877	SYMKEYPROPERTY	302	80	false	false	493	
878	SYS.DBMS_LDAP.INIT	302	59	false	false	493	
879	SYSDATE	302	70	false	false	493	
880	SYSTEM	302	70	false	false	493	
881	SYSTEM_USER	302	70	false	false	493	
882	SYSTIMESTAMP	302	59	false	false	493	
883	SYS_GUID	302	60	false	false	493	
884	SYS_XMLAGG	302	55	false	false	493	
885	SYS_XMLGEN	302	58	false	false	493	
886	TABLESAMPLE	302	54	false	false	493	
887	TABLESPACE	302	76	false	false	493	
889	TAN	302	81	false	false	493	
890	TANH	302	81	false	false	493	
891	TEMPORARY	302	76	false	false	493	
893	TEXT	302	93	false	false	493	
894	TG_ARGV	302	89	false	false	493	
895	TG_NARGS	302	91	false	false	493	
896	TG_OP	302	91	false	false	493	
897	TG_TABLE_NAME	302	59	false	false	493	
898	TG_TABLE_SCHEMA	302	60	false	false	493	
899	THEN	302	49	false	false	493	
900	TIME	302	71	false	false	493	
901	TIMEDIFF	302	61	false	false	493	
902	TIMESTAMP	302	57	false	false	493	
903	TIMESTAMPADD	302	68	false	false	493	
904	TIMESTAMPDIFF	302	85	false	false	493	
905	TIME_FORMAT	302	83	false	false	493	
906	TINYBLOB	302	82	false	false	493	
907	TINYINT	302	74	false	false	493	
908	TINYTEXT	302	73	false	false	493	
909	TOP	302	73	false	false	493	
910	TO_BASE64	302	58	false	false	493	
